day,open,high,low,close,volume
2024-06-03 13:10:00,10.95,10.96,10.95,10.96,204300
2024-06-03 13:11:00,10.96,10.96,10.95,10.96,52400
2024-06-03 13:12:00,10.96,10.96,10.95,10.95,77100
2024-06-03 13:13:00,10.96,10.96,10.95,10.95,128400
2024-06-03 13:14:00,10.96,10.96,10.95,10.96,54700
2024-06-03 13:15:00,10.95,10.96,10.95,10.96,190600
2024-06-03 13:16:00,10.95,10.96,10.95,10.96,148700
2024-06-03 13:17:00,10.96,10.96,10.95,10.95,133600
2024-06-03 13:18:00,10.95,10.96,10.95,10.95,136700
2024-06-03 13:19:00,10.96,10.96,10.94,10.95,520400
2024-06-03 13:20:00,10.95,10.95,10.94,10.95,66700
2024-06-03 13:21:00,10.95,10.95,10.94,10.95,95800
2024-06-03 13:22:00,10.94,10.95,10.94,10.95,133900
2024-06-03 13:23:00,10.94,10.95,10.94,10.94,208300
2024-06-03 13:24:00,10.94,10.95,10.93,10.94,491100
2024-06-03 13:25:00,10.94,10.95,10.94,10.94,235500
2024-06-03 13:26:00,10.94,10.95,10.94,10.95,135500
2024-06-03 13:27:00,10.95,10.96,10.94,10.96,363400
2024-06-03 13:28:00,10.95,10.96,10.95,10.96,48000
2024-06-03 13:29:00,10.95,10.96,10.95,10.96,76900
2024-06-03 13:30:00,10.95,10.96,10.95,10.95,229500
2024-06-03 13:31:00,10.95,10.96,10.95,10.95,105300
2024-06-03 13:32:00,10.96,10.97,10.96,10.97,493300
2024-06-03 13:33:00,10.97,10.97,10.96,10.97,91100
2024-06-03 13:34:00,10.96,10.97,10.96,10.96,62100
2024-06-03 13:35:00,10.96,10.97,10.96,10.96,276900
2024-06-03 13:36:00,10.96,10.97,10.96,10.97,204000
2024-06-03 13:37:00,10.97,10.98,10.96,10.97,728400
2024-06-03 13:38:00,10.98,10.98,10.97,10.98,79700
2024-06-03 13:39:00,10.98,10.98,10.97,10.97,206100
2024-06-03 13:40:00,10.97,10.98,10.96,10.97,347300
2024-06-03 13:41:00,10.96,10.97,10.96,10.97,34200
2024-06-03 13:42:00,10.96,10.97,10.96,10.97,95500
2024-06-03 13:43:00,10.97,10.97,10.96,10.96,123400
2024-06-03 13:44:00,10.97,10.97,10.96,10.96,101200
2024-06-03 13:45:00,10.97,10.97,10.96,10.96,139300
2024-06-03 13:46:00,10.96,10.97,10.95,10.95,219900
2024-06-03 13:47:00,10.96,10.96,10.95,10.95,318200
2024-06-03 13:48:00,10.96,10.96,10.95,10.95,256900
2024-06-03 13:49:00,10.96,10.96,10.94,10.95,942120
2024-06-03 13:50:00,10.95,10.96,10.94,10.96,88100
2024-06-03 13:51:00,10.96,10.96,10.95,10.95,185600
2024-06-03 13:52:00,10.96,10.96,10.95,10.96,93800
2024-06-03 13:53:00,10.95,10.96,10.95,10.96,81800
2024-06-03 13:54:00,10.96,10.96,10.95,10.95,131400
2024-06-03 13:55:00,10.95,10.96,10.94,10.95,554200
2024-06-03 13:56:00,10.95,10.96,10.95,10.96,99300
2024-06-03 13:57:00,10.95,10.96,10.94,10.95,152000
2024-06-03 13:58:00,10.94,10.95,10.94,10.94,125700
2024-06-03 13:59:00,10.94,10.95,10.94,10.95,79055
2024-06-03 14:00:00,10.94,10.95,10.94,10.95,114800
2024-06-03 14:01:00,10.94,10.96,10.94,10.96,551600
2024-06-03 14:02:00,10.95,10.96,10.94,10.94,257000
2024-06-03 14:03:00,10.94,10.95,10.94,10.94,193800
2024-06-03 14:04:00,10.95,10.95,10.94,10.94,509100
2024-06-03 14:05:00,10.94,10.94,10.93,10.94,614245
2024-06-03 14:06:00,10.94,10.94,10.93,10.94,157500
2024-06-03 14:07:00,10.93,10.94,10.93,10.94,195400
2024-06-03 14:08:00,10.93,10.95,10.93,10.94,344155
2024-06-03 14:09:00,10.95,10.95,10.93,10.94,370045
2024-06-03 14:10:00,10.94,10.94,10.93,10.94,88500
2024-06-03 14:11:00,10.94,10.95,10.93,10.94,190200
2024-06-03 14:12:00,10.93,10.95,10.93,10.94,195800
2024-06-03 14:13:00,10.94,10.94,10.93,10.94,250100
2024-06-03 14:14:00,10.93,10.95,10.93,10.94,316000
2024-06-03 14:15:00,10.94,10.95,10.94,10.95,125800
2024-06-03 14:16:00,10.94,10.95,10.93,10.94,625600
2024-06-03 14:17:00,10.94,10.94,10.93,10.93,294700
2024-06-03 14:18:00,10.94,10.94,10.93,10.94,151100
2024-06-03 14:19:00,10.94,10.94,10.93,10.94,161300
2024-06-03 14:20:00,10.94,10.94,10.93,10.94,407400
2024-06-03 14:21:00,10.93,10.94,10.93,10.94,118400
2024-06-03 14:22:00,10.93,10.94,10.93,10.93,221100
2024-06-03 14:23:00,10.93,10.94,10.92,10.92,1295200
2024-06-03 14:24:00,10.93,10.93,10.92,10.92,544200
2024-06-03 14:25:00,10.92,10.93,10.92,10.93,290600
2024-06-03 14:26:00,10.92,10.93,10.92,10.92,227300
2024-06-03 14:27:00,10.93,10.93,10.92,10.93,425600
2024-06-03 14:28:00,10.92,10.93,10.92,10.92,893400
2024-06-03 14:29:00,10.92,10.93,10.91,10.92,594700
2024-06-03 14:30:00,10.92,10.94,10.92,10.94,942596
2024-06-03 14:31:00,10.93,10.94,10.92,10.92,314500
2024-06-03 14:32:00,10.93,10.94,10.92,10.93,588900
2024-06-03 14:33:00,10.93,10.94,10.92,10.93,146300
2024-06-03 14:34:00,10.93,10.95,10.92,10.94,809600
2024-06-03 14:35:00,10.93,10.94,10.93,10.93,295700
2024-06-03 14:36:00,10.94,10.94,10.92,10.93,507100
2024-06-03 14:37:00,10.93,10.95,10.92,10.94,849600
2024-06-03 14:38:00,10.94,10.95,10.93,10.95,331400
2024-06-03 14:39:00,10.94,10.95,10.93,10.95,358500
